"Product #"	"Price Type"	"Price"	"Volume"
"1001-12"	"Retail"	"36.0000"	"36.0000"
"1001-12"	"Wholesale"	"100.0000"	"70.0000"
"1001-12"	"WineClub"	"100.0000"	"80.0000"
"101"	"Wholesale"	"100.0000"	"90.0000"
"1234"	"Retail"	"0.0100"	"0.0000"
"1234"	"Wholesale"	"0.0100"	"0.0000"
"1234"	"WineClub"	"0.0100"	"0.0000"
"12875"	"Retail"	"100.0000"	"70.0000"
"12875"	"Wholesale"	"70.0000"	"70.0000"
"12875"	"WineClub"	"80.0000"	"70.0000"
"1BABASR311"	"WineClub"	"21.9900"	"11.0000"
"1BABBOR305"	"WineClub"	"89.9900"	"45.0000"
"1BABC6R305"	"WineClub"	"89.9900"	"45.0000"
"1BABRAR308"	"WineClub"	"103.0000"	"51.5000"
"1BABRBR305"	"WineClub"	"89.9900"	"45.0000"
"1BABROR309"	"WineClub"	"44.0000"	"22.0000"
"1BDBECR310"	"Retail"	"40.0000"	"40.0000"
"1BDBECR310"	"Wholesale"	"28.0000"	"28.0000"
"1BDBECR310"	"WineClub"	"32.0000"	"32.0000"
"1BDPFFW308"	"Retail"	"24.0000"	"12.0000"
"1BDPFFW308"	"Wholesale"	"16.8000"	"0.0000"
"1BDPFFW308"	"WineClub"	"19.2000"	"9.6000"
"1BDPOFR305"	"Retail"	"45.0000"	"45.0000"
"1BDPOFR305"	"Wholesale"	"31.5000"	"31.5000"
"1BDPOFR305"	"WineClub"	"36.0000"	"36.0000"
"1BDPOFR309"	"Retail"	"45.0000"	"45.0000"
"1BDPOFR309"	"Wholesale"	"31.0000"	"31.0000"
"1BDPOFR309"	"WineClub"	"37.5000"	"37.5000"
"1BDPOFR311"	"Retail"	"58.0000"	"58.0000"
"1BDPOFR311"	"Wholesale"	"40.6000"	"40.6000"
"1BDPOFR311"	"WineClub"	"46.4000"	"46.4000"
"1BTPNFW3NV"	"Retail"	"24.0000"	"24.0000"
"1BTPNFW3NV"	"Wholesale"	"16.2000"	"16.2000"
"1BTPNFW3NV"	"WineClub"	"19.8000"	"19.8000"
"1BTVIFW3NV"	"Retail"	"24.0000"	"24.0000"
"1BTVIFW3NV"	"Wholesale"	"16.8000"	"16.8000"
"1BTVIFW3NV"	"WineClub"	"19.2000"	"19.2000"
"1JBBC12306"	"Retail"	"12.0000"	"6.0000"
"1JBBC12306"	"Wholesale"	"8.4000"	"4.2000"
"1JBBC12306"	"WineClub"	"9.6000"	"4.8000"
"1JBBCSF311"	"Retail"	"26.0000"	"26.0000"
"1JBBCSF311"	"Wholesale"	"18.2000"	"18.2000"
"1JBBCSF311"	"WineClub"	"20.8000"	"20.8000"
"1JBBP1S306"	"Retail"	"18.0000"	"9.0000"
"1JBBP1S306"	"Wholesale"	"12.6000"	"6.3000"
"1JBBP1S306"	"WineClub"	"14.4000"	"7.2000"
"1JBCM1C309"	"Retail"	"110.0000"	"110.0000"
"1JBCM1C309"	"Wholesale"	"77.0000"	"77.0000"
"1JBCM1C309"	"WineClub"	"88.0000"	"88.0000"
"1JC21FW3NV"	"Retail"	"25.0000"	"25.0000"
"1JC21FW3NV"	"Wholesale"	"17.5000"	"17.5000"
"1JC21FW3NV"	"WineClub"	"20.0000"	"20.0000"
"1JC21FW5NV"	"Retail"	"60.0000"	"30.0000"
"1JC21FW5NV"	"Wholesale"	"42.0000"	"21.0000"
"1JC21FW5NV"	"WineClub"	"48.0000"	"24.0000"
"1JC65FW306"	"Retail"	"50.0000"	"50.0000"
"1JC65FW306"	"Wholesale"	"35.0000"	"35.0000"
"1JC65FW306"	"WineClub"	"40.0000"	"40.0000"
"1JC69FP3NV"	"Retail"	"25.0000"	"25.0000"
"1JC69FP3NV"	"Wholesale"	"17.5000"	"17.5000"
"1JC69FP3NV"	"WineClub"	"20.0000"	"20.0000"
"1JC69FP5NV"	"Retail"	"60.0000"	"30.0000"
"1JC69FP5NV"	"Wholesale"	"42.0000"	"21.0000"
"1JC69FP5NV"	"WineClub"	"48.0000"	"24.0000"
"1VOREFR301"	"Retail"	"68.0000"	"34.0000"
"1VOREFR301"	"Wholesale"	"47.6000"	"23.8000"
"1VOREFR301"	"WineClub"	"54.4000"	"27.2000"
"800"	"Retail"	"59.9500"	"0.0000"
"800"	"Wholesale"	"59.9500"	"0.0000"
"900"	"Retail"	"50.0000"	"40.0000"
"900"	"Wholesale"	"40.0000"	"40.0000"
"90000"	"Wholesale"	"49.9500"	"0.0000"
"901"	"Retail"	"100.0000"	"80.0000"
